iter	Passed	Remaining
143	2209	13133
144	2223	13108
145	2236	13083
146	2251	13063
147	2265	13043
148	2281	13032
149	2295	13007
150	2310	12988
151	2323	12964
152	2338	12945
153	2353	12930
154	2368	12912
155	2383	12892
156	2397	12873
157	2412	12855
158	2426	12834
159	2440	12812
160	2454	12790
161	2468	12769
162	2482	12746
163	2495	12723
164	2509	12701
165	2523	12680
166	2537	12656
167	2551	12636
168	2566	12620
169	2582	12610
170	2598	12596
171	2614	12585
172	2630	12573
173	2646	12562
174	2661	12548
175	2679	12546
176	2697	12541
177	2716	12542
178	2731	12530
179	2747	12515
180	2761	12496
181	2776	12477
182	2790	12458
183	2804	12439
184	2819	12420
185	2833	12401
186	2848	12382
187	2862	12364
188	2876	12344
189	2893	12333
190	2909	12325
191	2926	12315
192	2941	12298
193	2957	12285
194	2975	12285
195	2991	12271
196	3007	12257
197	3021	12239
198	3037	12225
199	3053	12212
200	3068	12197
201	3084	12183
202	3101	12174
203	3115	12154
204	3130	12139
205	3145	12122
206	3159	12104
207	3174	12086
208	3189	12071
209	3205	12059
210	3220	12040
211	3233	12019
212	3247	12000
213	3261	11979
214	3275	11960
215	3290	11941
216	3303	11919
217	3317	11899
218	3330	11877
219	3345	11860
220	3358	11839
221	3373	11822
222	3387	11804
223	3401	11784
224	3415	11764
225	3430	11747
226	3445	11733
227	3459	11715
228	3474	11697
229	3487	11677
230	3502	11659
231	3517	11642
232	3531	11623
233	3544	11603
234	3559	11586
235	3574	11570
236	3588	11551
237	3601	11532
238	3615	11511
239	3629	11494
240	3644	11478
241	3659	11460
242	3673	11443
243	3687	11425
244	3701	11407
245	3715	11387
246	3729	11369
247	3744	11353
248	3758	11336
249	3773	11319
250	3787	11303
251	3801	11284
252	3816	11267
253	3831	11251
254	3845	11234
255	3859	11215
256	3872	11196
257	3886	11178
258	3900	11160
259	3915	11143
260	3929	11125
261	3944	11110
262	3958	11093
263	3973	11077
264	3987	11058
265	4001	11042
266	4015	11024
267	4030	11008
268	4044	10990
269	4062	10984
270	4080	10975
271	4096	10965
272	4113	10953
273	4128	10939
274	4145	10929
275	4162	10917
276	4177	10904
277	4193	10890
278	4209	10878
279	4225	10864
280	4241	10852
281	4255	10835
282	4270	10819
283	4284	10801
284	4298	10783
285	4311	10764
286	4325	10746
287	4339	10728
288	4353	10711
289	4368	10695
290	4383	10680
291	4398	10664
292	4412	10646
293	4425	10628
294	4440	10611
295	4454	10594
296	4469	10578
297	4484	10563
298	4501	10554
299	4517	10539
300	4532	10525
301	4548	10512
302	4565	10503
303	4580	10487
304	4594	10470
305	4611	10458
306	4626	10443
307	4644	10435
308	4659	10420
309	4674	10404
310	4687	10385
311	4701	10366
312	4714	10348
313	4728	10330
314	4742	10313
315	4757	10297
316	4770	10279
317	4785	10263
318	4799	10246
319	4813	10228
320	4827	10211
321	4841	10193
322	4855	10177
323	4869	10160
324	4883	10143
325	4897	10126
326	4911	10108
327	4925	10091
328	4939	10074
329	4954	10058
330	4967	10040
331	4981	10023
332	4996	10007
333	5010	9991
334	5023	9972
335	5037	9955
336	5052	9940
337	5067	9924
338	5084	9913
339	5098	9896
340	5112	9879
341	5126	9862
342	5140	9845
343	5154	9829
344	5169	9814
345	5183	9797
346	5197	9781
347	5212	9766
348	5227	9751
349	5242	9735
350	5256	9719
351	5270	9702
352	5284	9686
353	5298	9668
354	5311	9650
355	5326	9635
356	5340	9618
357	5355	9603
358	5369	9587
359	5384	9572
360	5398	9555
361	5413	9541
362	5427	9524
363	5441	9508
364	5457	9494
365	5475	9484
366	5490	9470
367	5507	9457
368	5522	9443
369	5537	9428
370	5552	9413
371	5568	9400
372	5585	9388
373	5599	9372
374	5614	9357
375	5628	9341
376	5644	9327
377	5659	9312
378	5674	9297
379	5688	9280
380	5701	9263
381	5716	9247
382	5730	9231
383	5745	9216
384	5762	9204
385	5777	9189
386	5790	9172
387	5805	9157
388	5820	9141
389	5833	9124
390	5847	9108
391	5862	9092
392	5876	9075
393	5889	9059
394	5904	9042
395	5918	9027
396	5933	9012
397	5947	8996
398	5961	8979
399	5975	8963
400	5990	8948
401	6004	8931
402	6018	8915
403	6032	8899
404	6047	8884
405	6061	8868
406	6075	8852
407	6089	8836
408	6103	8819
409	6117	8803
410	6131	8787
411	6146	8772
412	6160	8755
413	6177	8743
414	6191	8728
415	6206	8713
416	6220	8697
417	6234	8681
418	6248	8664
419	6262	8647
420	6275	8631
421	6289	8614
422	6304	8599
423	6318	8583
424	6332	8567
425	6346	8551
426	6360	8535
427	6377	8522
428	6391	8507
429	6406	8492
430	6419	8475
431	6434	8459
432	6449	8445
433	6465	8431
434	6480	8417
435	6495	8402
436	6509	8386
437	6524	8371
438	6539	8356
439	6554	8341
440	6568	8325
441	6583	8310
442	6602	8301
443	6617	8286
444	6631	8270
445	6646	8256
446	6661	8240
447	6676	8226
448	6690	8210
449	6705	8195
450	6719	8179
451	6734	8165
452	6750	8150
453	6764	8135
454	6778	8119
455	6794	8105
456	6809	8090
457	6824	8075
458	6838	8060
459	6852	8044
460	6867	8029
461	6881	8013
462	6895	7997
463	6909	7981
464	6923	7965
465	6937	7950
466	6951	7934
467	6965	7918
468	6980	7902
469	6994	7887
470	7008	7871
471	7022	7856
472	7037	7840
473	7052	7825
474	7066	7810
475	7081	7795
476	7096	7780
477	7110	7765
478	7126	7750
479	7140	7735
480	7155	7720
481	7169	7704
482	7183	7689
483	7198	7673
484	7211	7658
485	7227	7644
486	7242	7628
487	7257	7613
488	7272	7599
489	7285	7583
490	7299	7567
491	7313	7551
492	7327	7535
493	7340	7518
494	7354	7502
495	7367	7486
496	7381	7470
497	7395	7455
498	7409	7439
499	7423	7423
500	7438	7408
501	7451	7392
502	7466	7377
503	7481	7362
504	7494	7346
505	7508	7330
506	7523	7316
507	7538	7300
508	7552	7285
509	7567	7270
510	7581	7255
511	7596	7240
512	7611	7225
513	7624	7209
514	7639	7194
515	7652	7178
516	7666	7162
517	7680	7146
518	7695	7131
519	7710	7117
520	7726	7103
521	7742	7089
522	7757	7075
523	7771	7059
524	7785	7044
525	7799	7028
526	7813	7012
527	7828	6998
528	7843	6983
529	7857	6968
530	7871	6952
531	7885	6937
532	7899	6921
533	7914	6906
534	7929	6891
535	7943	6876
536	7957	6861
537	7973	6846
538	7987	6831
539	8001	6816
540	8017	6802
541	8031	6786
542	8045	6771
543	8060	6756
544	8074	6741
545	8089	6726
546	8103	6711
547	8117	6695
548	8131	6680
549	8145	6664
550	8160	6649
551	8174	6634
552	8188	6619
553	8202	6603
554	8216	6588
555	8230	6572
556	8244	6557
557	8260	6542
558	8275	6528
559	8290	6513
560	8303	6497
561	8318	6482
562	8331	6467
563	8346	6452
564	8361	6437
565	8375	6422
566	8389	6407
567	8404	6392
568	8422	6379
569	8438	6365
570	8452	6350
571	8466	6335
572	8480	6320
573	8495	6304
574	8509	6289
575	8523	6273
576	8538	6259
577	8552	6244
578	8567	6229
579	8582	6214
580	8596	6199
581	8610	6184
582	8624	6169
583	8638	6153
584	8652	6138
585	8667	6123
586	8681	6107
587	8695	6092
588	8710	6078
589	8725	6063
590	8739	6048
591	8754	6033
592	8767	6017
593	8782	6002
594	8796	5987
595	8810	5972
596	8826	5958
597	8840	5942
598	8854	5927
599	8868	5912
600	8884	5898
601	8898	5882
602	8912	5867
603	8926	5852
604	8941	5837
605	8955	5822
606	8970	5807
607	8984	5792
608	8998	5777
609	9012	5762
610	9027	5747
611	9041	5732
612	9056	5717
613	9071	5702
614	9085	5687
615	9099	5672
616	9114	5657
617	9128	5642
618	9142	5627
619	9157	5612
620	9172	5598
621	9187	5583
622	9201	5568
623	9215	5553
624	9230	5538
625	9244	5523
626	9258	5507
627	9272	5492
628	9289	5478
629	9304	5464
630	9321	5450
631	9339	5438
632	9355	5424
633	9371	5409
634	9386	5395
635	9403	5382
636	9420	5368
637	9435	5353
638	9452	5340
639	9468	5326
640	9483	5311
641	9497	5296
642	9512	5281
643	9528	5267
644	9546	5254
645	9561	5239
646	9577	5225
647	9591	5210
648	9605	5195
649	9619	5179
650	9634	5165
651	9648	5149
652	9661	5134
653	9677	5119
654	9692	5105
655	9707	5090
656	9722	5075
657	9737	5061
658	9751	5045
659	9766	5031
660	9780	5015
661	9796	5001
662	9812	4987
663	9829	4973
664	9846	4960
665	9860	4945
666	9875	4930
667	9890	4915
668	9907	4901
669	9925	4888
670	9940	4873
671	9955	4859
672	9972	4845
673	9987	4830
674	10006	4817
675	10021	4803
676	10037	4789
677	10052	4774
678	10067	4759
679	10081	4744
680	10096	4729
681	10109	4713
682	10123	4698
683	10138	4683
684	10152	4668
685	10166	4653
686	10180	4638
687	10194	4623
688	10208	4607
689	10222	4592
690	10237	4577
691	10252	4563
692	10267	4548
693	10282	4533
694	10297	4518
695	10312	4504
696	10326	4489
697	10340	4474
698	10355	4459
699	10370	4444
700	10383	4429
701	10398	4414
702	10413	4399
703	10427	4384
704	10442	4369
705	10457	4354
706	10471	4339
707	10485	4324
708	10499	4309
709	10513	4294
710	10527	4279
711	10542	4264
712	10556	4249
713	10571	4234
714	10585	4219
715	10599	4204
716	10612	4188
717	10627	4174
718	10642	4159
719	10656	4144
720	10670	4129
721	10686	4114
722	10701	4100
723	10715	4085
724	10729	4069
725	10743	4054
726	10757	4039
727	10772	4024
728	10786	4009
729	10800	3994
730	10814	3979
731	10828	3964
732	10842	3949
733	10856	3934
734	10870	3919
735	10884	3904
736	10898	3889
737	10913	3874
738	10927	3859
739	10941	3844
740	10956	3829
741	10970	3814
742	10984	3799
743	10998	3784
744	11012	3769
745	11027	3754
746	11042	3739
747	11056	3724
748	11070	3709
749	11085	3695
750	11099	3680
751	11113	3665
752	11128	3650
753	11141	3635
754	11155	3620
755	11169	3605
756	11183	3589
757	11197	3574
758	11212	3560
759	11225	3545
760	11240	3530
761	11253	3514
762	11267	3499
763	11281	3484
764	11295	3469
765	11308	3454
766	11323	3439
767	11337	3424
768	11351	3409
769	11365	3394
770	11379	3379
771	11392	3364
772	11406	3349
773	11420	3334
774	11434	3319
775	11448	3304
776	11462	3289
777	11477	3275
778	11491	3260
779	11505	3245
780	11520	3230
781	11535	3215
782	11550	3201
783	11566	3186
784	11580	3171
785	11597	3157
786	11612	3142
787	11627	3128
788	11643	3113
789	11658	3099
790	11672	3084
791	11687	3069
792	11701	3054
793	11716	3039
794	11730	3024
795	11743	3009
796	11757	2994
797	11771	2979
798	11786	2964
799	11799	2949
800	11814	2935
801	11829	2920
802	11845	2906
803	11861	2891
804	11875	2876
805	11889	2861
806	11903	2846
807	11918	2832
808	11932	2817
809	11946	2802
810	11960	2787
811	11974	2772
812	11988	2757
813	12003	2742
814	12018	2728
815	12031	2713
816	12046	2698
817	12060	2683
818	12074	2668
819	12088	2653
820	12104	2639
821	12118	2624
822	12132	2609
823	12146	2594
824	12161	2579
825	12175	2564
826	12189	2550
827	12204	2535
828	12218	2520
829	12233	2505
830	12247	2490
831	12261	2475
832	12276	2461
833	12290	2446
834	12304	2431
835	12319	2416
836	12333	2401
837	12347	2386
838	12361	2372
839	12375	2357
840	12390	2342
841	12404	2327
842	12418	2312
843	12432	2297
844	12446	2283
845	12460	2268
846	12474	2253
847	12488	2238
848	12503	2223
849	12520	2209
850	12535	2194
851	12549	2180
852	12564	2165
853	12578	2150
854	12593	2135
855	12607	2120
856	12627	2107
857	12643	2092
858	12658	2077
859	12672	2062
860	12686	2048
861	12700	2033
862	12715	2018
863	12729	2003
864	12744	1989
865	12759	1974
866	12772	1959
867	12786	1944
868	12801	1929
869	12815	1914
870	12829	1900
871	12844	1885
872	12858	1870
873	12872	1855
874	12886	1840
875	12900	1826
876	12914	1811
877	12928	1796
878	12943	1781
879	12957	1766
880	12972	1752
881	12987	1737
882	13001	1722
883	13015	1707
884	13029	1693
885	13043	1678
886	13058	1663
887	13073	1648
888	13087	1634
889	13102	1619
890	13118	1604
891	13132	1590
892	13146	1575
893	13160	1560
894	13174	1545
895	13189	1530
896	13202	1516
897	13217	1501
898	13231	1486
899	13245	1471
900	13258	1456
901	13272	1442
902	13286	1427
903	13301	1412
904	13314	1397
905	13328	1382
906	13343	1368
907	13358	1353
908	13372	1338
909	13386	1323
910	13401	1309
911	13414	1294
912	13428	1279
913	13443	1264
914	13458	1250
915	13471	1235
916	13485	1220
917	13500	1205
918	13515	1191
919	13529	1176
920	13544	1161
921	13558	1147
922	13572	1132
923	13586	1117
924	13600	1102
925	13614	1088
926	13629	1073
927	13644	1058
928	13659	1043
929	13674	1029
930	13689	1014
931	13704	999
932	13718	985
933	13734	970
934	13748	955
935	13761	940
936	13776	926
937	13790	911
938	13804	896
939	13818	882
940	13833	867
941	13847	852
942	13860	837
943	13875	823
944	13889	808
945	13904	793
946	13919	778
947	13933	764
948	13947	749
949	13962	734
950	13975	720
951	13989	705
952	14004	690
953	14018	675
954	14033	661
955	14046	646
956	14059	631
957	14073	617
958	14087	602
959	14102	587
960	14117	572
961	14131	558
962	14145	543
963	14159	528
964	14174	514
965	14187	499
966	14202	484
967	14216	469
968	14230	455
969	14245	440
970	14259	425
971	14273	411
972	14287	396
973	14302	381
974	14316	367
975	14330	352
976	14344	337
977	14358	322
978	14372	308
979	14386	293
980	14400	278
981	14415	264
982	14429	249
983	14443	234
984	14457	220
985	14471	205
986	14484	190
987	14498	176
988	14512	161
989	14526	146
990	14539	132
991	14553	117
992	14568	102
993	14582	88
994	14596	73
995	14612	58
996	14627	44
997	14642	29
998	14656	14
999	14671	0
