iter	MultiClass
0	2.239951159
1	2.123332954
2	2.037180385
3	1.968877291
4	1.91483301
5	1.870086347
6	1.834770038
7	1.803981386
8	1.778310663
9	1.752746025
10	1.73239876
11	1.712226346
12	1.695049994
13	1.680348271
14	1.668101399
15	1.656136491
16	1.645177941
17	1.635252642
18	1.626197176
19	1.618765221
20	1.613347853
21	1.607972051
22	1.602331753
23	1.597396149
24	1.592631021
25	1.588832772
26	1.584694084
27	1.580815167
28	1.577065698
29	1.573804143
30	1.570597202
31	1.566931726
32	1.563913657
33	1.560146294
34	1.558032985
35	1.554395065
36	1.551967203
37	1.54846224
38	1.545616376
39	1.5435432
40	1.540831481
41	1.539083439
42	1.53729434
43	1.535620899
44	1.533895399
45	1.531940021
46	1.529954831
47	1.528306678
48	1.525584107
49	1.522986586
50	1.521500269
51	1.519673575
52	1.518254819
53	1.517116697
54	1.515360624
55	1.513624956
56	1.512360162
57	1.511400785
58	1.509546285
59	1.508863375
60	1.50767329
61	1.506692883
62	1.50481891
63	1.503638671
64	1.502615791
65	1.501300355
66	1.500004052
67	1.498956088
68	1.497551829
69	1.496270223
70	1.495235478
71	1.494273999
72	1.493423391
73	1.492191836
74	1.491331938
75	1.490315644
76	1.489478959
77	1.488544481
78	1.487708803
79	1.486446296
80	1.485545488
81	1.484917906
82	1.484046573
83	1.483293376
84	1.482440088
85	1.481743505
86	1.481288285
87	1.48052398
88	1.480019225
89	1.479279068
90	1.478687874
91	1.478122336
92	1.477415921
93	1.476719568
94	1.475642968
95	1.474851678
96	1.47422147
97	1.473267461
98	1.472969039
99	1.472051894
100	1.471133794
101	1.470680447
102	1.470178226
103	1.46942082
104	1.468714117
105	1.467811821
106	1.46707252
107	1.466226564
108	1.465627467
109	1.464607302
110	1.464098612
111	1.463195126
112	1.462578426
113	1.461964961
114	1.461431543
115	1.460678004
116	1.460011661
117	1.45952114
118	1.458953416
119	1.458125898
120	1.457374622
121	1.456746539
122	1.456018011
123	1.455713951
124	1.455362891
125	1.454767991
126	1.45436122
127	1.45396989
128	1.453437883
129	1.452816944
130	1.452213558
131	1.451570205
132	1.450922259
133	1.450382727
134	1.449561781
135	1.449166444
136	1.448568964
137	1.448160374
138	1.447530247
139	1.447134833
140	1.446499075
141	1.445962448
142	1.445407068
143	1.445012915
144	1.444305092
145	1.443796981
146	1.443284516
147	1.442946808
148	1.442353927
149	1.441888082
150	1.441302922
151	1.44093589
152	1.440438213
153	1.439928615
154	1.439474432
155	1.438915244
156	1.43822978
157	1.437866341
158	1.437433796
159	1.43702267
160	1.436631818
161	1.436092176
162	1.435751893
163	1.435278877
164	1.434676551
165	1.433990106
166	1.433644721
167	1.433083876
168	1.432556883
169	1.432054143
170	1.431670442
171	1.431144681
172	1.430757114
173	1.430326691
174	1.429967097
175	1.429630681
176	1.429244601
177	1.428916807
178	1.428585397
179	1.428249748
180	1.427844259
181	1.42744945
182	1.427126306
183	1.426792116
184	1.426621505
185	1.426249607
186	1.425910794
187	1.425571221
188	1.425060428
189	1.42472477
190	1.424281472
191	1.424030623
192	1.423614098
193	1.423200995
194	1.422771161
195	1.422396729
196	1.421921603
197	1.421669343
198	1.421301267
199	1.420883672
200	1.420535145
201	1.420045674
202	1.419617894
203	1.419265299
204	1.418885846
205	1.41852134
206	1.417857447
207	1.417550986
208	1.416992913
209	1.416624153
210	1.416450082
211	1.41605955
212	1.415803665
213	1.415569838
214	1.41507468
215	1.414540904
216	1.414289355
217	1.413817158
218	1.413384741
219	1.412940336
220	1.412558811
221	1.412045697
222	1.411693362
223	1.411270958
224	1.411044139
225	1.410695383
226	1.410441264
227	1.410123454
228	1.409885693
229	1.40955738
230	1.409274837
231	1.40905554
232	1.4086129
233	1.408094824
234	1.407638523
235	1.407376233
236	1.406871337
237	1.406409399
238	1.406056617
239	1.405648998
240	1.405359452
241	1.405057909
242	1.404626374
243	1.404380646
244	1.403776674
245	1.403553126
246	1.403037609
247	1.402778123
248	1.402350957
249	1.40186903
250	1.401595503
251	1.401338157
252	1.400977801
253	1.400467398
254	1.400129603
255	1.399812281
256	1.399369159
257	1.399164445
258	1.39888069
259	1.398659295
260	1.398275079
261	1.39780377
262	1.397496009
263	1.397189045
264	1.396951744
265	1.396422373
266	1.396049406
267	1.395618397
268	1.395278168
269	1.395006174
270	1.394737569
271	1.394390614
272	1.394047257
273	1.393665757
274	1.393408868
275	1.393062635
276	1.39285466
277	1.39249233
278	1.392177628
279	1.391992032
280	1.391656014
281	1.391350583
282	1.390975278
283	1.390531945
284	1.39032954
285	1.389792446
286	1.389397731
287	1.388973687
288	1.388718273
289	1.388484687
290	1.388201994
291	1.387952795
292	1.387512747
293	1.387303128
294	1.386856611
295	1.386748647
296	1.38627555
297	1.385879732
298	1.3855426
299	1.385364111
300	1.385114869
301	1.384735128
302	1.384431995
303	1.383922163
304	1.383466217
305	1.383168579
306	1.383025196
307	1.382745956
308	1.382438798
309	1.38217427
310	1.38189401
311	1.381643223
312	1.381372771
313	1.381048911
314	1.380680354
315	1.380202883
316	1.379843668
317	1.379517743
318	1.379297115
319	1.379119588
320	1.378786374
321	1.378422477
322	1.378176994
323	1.377902113
324	1.377588863
325	1.377295645
326	1.376907541
327	1.376498006
328	1.376017206
329	1.37562436
330	1.37515815
331	1.374769377
332	1.374453579
333	1.374221618
334	1.373921983
335	1.373670594
336	1.37339803
337	1.373080233
338	1.372894434
339	1.372526772
340	1.372276936
341	1.372078302
342	1.371810745
343	1.371592897
344	1.371276641
345	1.371064811
346	1.37079411
347	1.370495007
348	1.370173314
349	1.370038363
350	1.369706329
351	1.369427851
352	1.369241424
353	1.368935122
354	1.368704046
355	1.368414602
356	1.368149755
357	1.367935498
358	1.367684704
359	1.367491789
360	1.367126524
361	1.366909649
362	1.366593223
363	1.366281006
364	1.365966641
365	1.365613235
366	1.36527959
367	1.364952129
368	1.36467211
369	1.364262349
370	1.363875043
371	1.363490605
372	1.363303116
373	1.363096194
374	1.362932808
375	1.362597988
376	1.362306068
377	1.361957589
378	1.361787752
379	1.361409247
380	1.361119742
381	1.360726311
382	1.36048622
383	1.360374297
384	1.359992597
385	1.359744642
386	1.359421939
387	1.359225982
388	1.358973492
389	1.358691912
390	1.358441712
391	1.358152497
392	1.357963909
393	1.357709702
394	1.357408176
395	1.357148073
396	1.356847654
397	1.356611658
398	1.356379659
399	1.356187044
400	1.355834023
